survey_id,member_id,survey_date,nps_score,csat_score,effort_score,feedback_text,survey_type
S00000001,M00008430,2024-07-29,7,3,3,Had to call multiple times,post_call
S00000002,M00009475,2023-11-03,9,4,3,,post_digital
S00000003,M00009013,2024-03-01,6,4,1,Could not find what I needed online,post_digital
S00000004,M00002793,2024-09-17,5,4,2,Had to call multiple times,post_digital
S00000005,M00004730,2023-11-04,5,5,3,,post_call
S00000006,M00006365,2023-12-08,6,1,4,Too long wait time,post_digital
S00000007,M00000733,2024-10-26,4,4,3,,periodic
S00000008,M00004351,2024-10-19,6,5,1,,annual
S00000009,M00005730,2023-01-29,2,4,2,Process is too complicated,post_call
S00000010,M00007038,2023-04-21,9,5,3,Quick and easy,post_call
S00000011,M00008979,2023-11-27,5,3,7,Billing is unclear,post_call
S00000012,M00007433,2023-02-16,6,3,5,,post_call
S00000013,M00008572,2024-09-27,1,3,4,Quick and easy,periodic
S00000014,M00009940,2024-08-24,8,3,1,,post_call
S00000015,M00003733,2024-06-20,9,4,2,"Great service, very helpful",post_call
S00000016,M00005104,2024-07-16,9,4,5,Website is confusing,post_call
S00000017,M00000392,2024-09-22,1,2,6,Had to call multiple times,periodic
S00000018,M00003250,2024-11-10,0,4,3,Too long wait time,post_digital
S00000019,M00002321,2023-12-29,6,3,1,Very satisfied with my plan,post_call
S00000020,M00001541,2023-05-31,6,3,5,Too long wait time,post_digital
S00000021,M00004655,2023-07-12,0,4,5,,post_call
S00000022,M00001428,2023-07-11,6,3,3,Billing is unclear,post_call
S00000023,M00000990,2023-05-31,8,4,2,"Great service, very helpful",post_call
S00000024,M00009254,2024-10-07,3,3,1,Too long wait time,annual
S00000025,M00008150,2023-06-12,7,4,4,,post_call
S00000026,M00004059,2023-02-25,6,4,3,Had to call multiple times,post_digital
S00000027,M00002121,2023-10-08,2,3,2,,periodic
S00000028,M00003709,2024-12-16,7,4,4,Billing is unclear,post_call
S00000029,M00004766,2023-05-06,3,4,6,"Great service, very helpful",post_digital
S00000030,M00003631,2023-03-01,6,5,2,Process is too complicated,post_digital
S00000031,M00003292,2024-10-06,3,1,1,Too long wait time,post_digital
S00000032,M00007571,2023-05-18,7,4,1,,annual
S00000033,M00009255,2023-08-15,8,4,4,,post_call
S00000034,M00008051,2023-07-17,9,3,4,Website is confusing,post_digital
S00000035,M00000826,2023-09-21,10,4,4,Billing is unclear,periodic
S00000036,M00000728,2024-10-24,8,4,3,Agent was knowledgeable,post_digital
S00000037,M00008601,2023-11-17,10,4,4,Process is too complicated,post_call
